title,artist,streams
Set Fire to the Rain,Adele,"1,819,493,514"
Mr. Saxobeat - Radio Edit,Alexandra Stan,"642,966,652"
What the Hell,Avril Lavigne,"430,331,054"
Lighters,Bad Meets Evil,"269,488,030"
Love On Top,Beyoncé,"679,659,501"
Best Thing I Never Had,Beyoncé,"404,298,658"
Skinny Love,Birdy,"862,413,324"
Just Can’t Get Enough,Black Eyed Peas,"609,920,637"
Honey Bee,Blake Shelton,"186,623,695"
Holocene,Bon Iver,"457,468,728"
I Wanna Go,Britney Spears,"181,482,879"
Till the World Ends,Britney Spears,"184,468,703"
Grenade,Bruno Mars,"1,473,863,506"
Marry You,Bruno Mars,"1,135,798,750"
The Lazy Song,Bruno Mars,"1,063,144,065"
Bounce (feat. Kelis) - Radio Edit,Calvin Harris,"153,707,926"
Blind Faith,Chase & Status,"100,185,554"
Champion (feat. Chris Brown),Chip,"28,637,164"
Look At Me Now (feat. Lil' Wayne & Busta Rhymes),Chris Brown,"442,791,129"
Yeah 3x,Chris Brown,"262,566,431"
Beautiful People,Chris Brown,"180,426,283"
jar of hearts,Christina Perri,"564,520,942"
You Make Me Feel... (feat. Sabi),Cobra Starship,"307,386,829"
Paradise,Coldplay,"1,428,570,097"
Every Teardrop Is a Waterfall,Coldplay,"331,050,221"
Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,"657,854,590"
Who's That Chick? (feat. Rihanna),David Guetta,"293,988,677"
Coming Home,Diddy - Dirty Money,"339,206,552"
Louder (feat. Sian Evans) - Doctor P & Flux Pavillion Remix,DJ Fresh,"10,867,489"
I'm On One,DJ Khaled,"277,418,656"
I Need A Doctor,Dr. Dre,"355,670,228"
Headlines,Drake,"711,850,638"
The A Team,Ed Sheeran,"1,021,025,885"
Lego House,Ed Sheeran,"579,814,660"
Stereo Love - Radio Edit,Edward Maya,"419,960,998"
Tonight (I'm Fuckin' You),Enrique Iglesias,"243,004,419"
Springsteen,Eric Church,"507,106,685"
Changed The Way You Kiss Me - Radio Edit,Example,"125,492,799"
Rocketeer,Far East Movement,"260,982,103"
Shake It Out,Florence + The Machine,"432,736,628"
Pumped Up Kicks,Foster The People,"2,004,777,372"
Tongue Tied,GROUPLOVE,"993,730,225"
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,"1,436,149,495"
Tonight Tonight,Hot Chelle Rae,"383,353,964"
Dirt Road Anthem,Jason Aldean,"394,477,826"
It Girl,Jason Derulo,"382,745,242"
Don't Wanna Go Home,Jason Derulo,"141,297,950"
On The Floor,Jennifer Lopez,"666,819,175"
Down On Me,Jeremih,"434,305,381"
Do It Like A Dude,Jessie J,"130,285,988"
All Of The Lights,Kanye West,"743,498,442"
Last Friday Night (T.G.I.F.),Katy Perry,"1,313,649,261"
Firework,Katy Perry,"1,183,532,006"
E.T.,Katy Perry,"402,856,315"
Motivation,Kelly Rowland,"254,118,089"
Pretty Girl Rock,Keri Hilson,"181,517,266"
We R Who We R,Kesha,"335,750,218"
Blow,Kesha,"199,868,825"
Earthquake (feat. Tinie Tempah),Labrinth,"112,052,750"
Just A Kiss,Lady A,"149,797,629"
Born This Way,Lady Gaga,"659,648,228"
The Edge Of Glory,Lady Gaga,"329,864,617"
6 Foot 7 Foot,Lil Wayne,"533,863,004"
How To Love,Lil Wayne,"324,625,596"
Party Rock Anthem,LMFAO,"783,281,877"
Sexy And I Know It,LMFAO,"468,763,938"
The Show Goes On,Lupe Fiasco,"350,231,860"
I Follow Rivers - The Magician Remix,Lykke Li,"647,947,088"
Midnight City,M83,"1,188,309,424"
Donald Trump,Mac Miller,"439,246,196"
Buzzin Remix,Mann,"46,573,467"
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Maroon 5,"1,640,310,808"
Sure Thing,Miguel,"1,583,968,075"
When We Stand Together,Nickelback,"248,348,641"
Super Bass,Nicki Minaj,"939,392,021"
L.I.F.E.G.O.E.S.O.N.,Noah And The Whale,"95,455,388"
Heart Skips a Beat (feat. Rizzle Kicks),Olly Murs,"92,084,996"
Good Life,OneRepublic,"444,427,646"
Raise Your Glass,P!nk,"759,994,727"
Give Me Everything (feat. Nayer),Pitbull,"1,398,898,365"
Hey Baby (Drop It to the Floor) (feat. T-Pain),Pitbull,"363,129,470"
Read All About It,Professor Green,"45,130,599"
The Adventures of Rain Dance Maggie,Red Hot Chili Peppers,"165,691,083"
S&M,Rihanna,"1,191,359,489"
We Found Love,Rihanna,"1,880,696,173"
What's My Name?,Rihanna,"582,396,167"
Down With The Trumpets,Rizzle Kicks,"76,595,620"
"Loca People (What the F**k!"") - Radio Edit",Sak Noel,"53,450,465"
Love You Like A Love Song,Selena Gomez & The Scene,"957,057,781"
Who Says,Selena Gomez & The Scene,"533,814,333"
Sweat - Remix,Snoop Dogg,"293,043,166"
Save The World,Swedish House Mafia,"229,868,927"
Higher,Taio Cruz,"98,972,160"
If I Die Young,The Band Perry,"356,618,845"
Glad You Came,The Wanted,"880,611,592"
More - RedOne Jimmy Joker Remix,USHER,"207,271,291"
No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,"717,551,513"
Black and Yellow,Wiz Khalifa,"684,219,442"
Roll Up,Wiz Khalifa,"167,691,228"
Skyfall,Adele,"893,360,241"
