title,artist,streams,,
Rumour Has It,Adele,"367,163,524",,
Years,Alesso,"103,049,777",,
Too Close,Alex Clare,"229,236,399",,
Breezeblocks,alt-J,"901,508,104",,
R U Mine?,Arctic Monkeys,"24,275,127",,
One Day / Reckoning Song (Wankelmut Remix) - Radio Edit,Asaf Avidan,"336,772,084",,
Levels - Radio Edit,Avicii,"1,036,289,759",,
Silhouettes - Original Radio Edit,Avicii,"231,336,397",,
212,Azealia Banks,"285,936,229",,
So Good,B.o.B,"200,902,328",,
Locked out of Heaven,Bruno Mars,"2,344,760,126",,
It Will Rain,Bruno Mars,"1,039,619,144",,
Feel So Close - Radio Edit,Calvin Harris,"1,161,941,211",,
Let's Go (feat. Ne-Yo),Calvin Harris,"233,026,216",,
We'll Be Coming Back (feat. Example),Calvin Harris,"202,958,723",,
Call Me Maybe,Carly Rae Jepsen,"1,556,926,112",,
Blown Away,Carrie Underwood,"151,612,544",,
Want U Back,Cher Lloyd,"283,368,722",,
Turn Up the Music,Chris Brown,"186,704,921",,
Paradise,Coldplay,"1,428,570,097",,
Princess of China,Coldplay,"295,121,844",,
Turn Me On (feat. Nicki Minaj),David Guetta,"295,975,474",,
In The Dark,DEV,"69,069,447",,
Latch,Disclosure,"1,127,241,063",,
Hot Right Now - Edit,DJ Fresh,"77,066,053",,
Take Care,Drake,"665,121,832",,
The Motto,Drake,"585,396,048",,
Lights - Single Version,Ellie Goulding,"353,821,947",,
Good Feeling,Flo Rida,"736,076,412",,
Spectrum (Say My Name) - Calvin Harris Remix,Florence + The Machine,"307,501,393",,
Lost,Frank Ocean,"1,187,632,158",,
Thinkin Bout You,Frank Ocean,"1,158,351,765",,
We Are Young (feat. Janelle Monáe),fun.,"1,244,235,845",,
Some Nights,fun.,"717,877,053",,
Somebody That I Used To Know,Gotye,"1,924,110,837",,
Oblivion,Grimes,"317,620,624",,
Ass Back Home (feat. Neon Hitch),Gym Class Heroes,"130,724,216",,
I Love It (feat. Charli XCX),Icona Pop,"974,784,773",,
It's Time,Imagine Dragons,"768,369,277",,
On Top Of The World,Imagine Dragons,"1,047,143,027",,
Ni**as In Paris,JAY-Z,"1,543,508,204",,
Boyfriend,Justin Bieber,"596,178,065",,
Mercy,Kanye West,"414,805,423",,
Brokenhearted,Karmin,"130,754,922",,
The One That Got Away,Katy Perry,"1,040,032,793",,
Part Of Me,Katy Perry,"603,037,530",,
Swimming Pools (Drank) - Extended Version,Kendrick Lamar,"494,147,050",,
m.A.A.d city,Kendrick Lamar,"784,786,713",,
Die Young,Kesha,"784,273,600",,
C'Mon,Kesha,"104,538,836",,
Ride,Lana Del Rey,"394,995,665",,
Video Games,Lana Del Rey,"1,045,695,804",,
Born To Die,Lana Del Rey,"784,715,116",,
BURN IT DOWN,Linkin Park,"531,428,125",,
Sexy And I Know It,LMFAO,"468,763,938",,
Battle Scars (with Guy Sebastian),Lupe Fiasco,"389,130,976",,
Primadonna,MARINA,"405,579,956",,
How to Be a Heartbreaker,MARINA,"345,303,625",,
One More Night,Maroon 5,"993,706,320",,
Payphone,Maroon 5,"2,032,981,208",,
Adorn,Miguel,"461,986,202",,
Madness,Muse,"317,066,860",,
Everybody Talks,Neon Trees,"910,457,486",,
Starships,Nicki Minaj,"1,248,378,386",,
Pound The Alarm,Nicki Minaj,"255,401,342",,
Dirty Paws,Of Monsters and Men,"362,502,501",,
Troublemaker (feat. Flo Rida),Olly Murs,"514,041,270",,
What Makes You Beautiful,One Direction,"1,456,007,442",,
Live While We're Young,One Direction,"427,293,275",,
Million Voices - Radio Edit,Otto Knows,"244,917,085",,
Good Time,Owl City,"660,985,226",,
Blow Me (One Last Kiss),P!nk,"226,085,136",,
Take a Walk,Passion Pit,"308,235,461",,
Gone, Gone, Gone,Phillip Phillips,"424,686,564"
Home,Phillip Phillips,"336,838,449",,
Gangnam Style (강남스타일),PSY,"517,751,896",,
We Found Love,Rihanna,"1,880,696,173",,
Where Have You Been,Rihanna,"763,685,743",,
Mama Do The Hump,Rizzle Kicks,"55,923,818",,
Candy,Robbie Williams,"196,916,962",,
Feel the Love (feat. John Newman),Rudimental,"219,739,445",,
Hands on the Wheel (feat. Asap Rocky),ScHoolboy Q,"262,627,987",,
Bangarang (feat. Sirah),Skrillex,"493,969,940",,
Young, Wild & Free (feat. Bruno Mars),Snoop Dogg,"1,537,202,761",
Don't You Worry Child - Radio Edit,Swedish House Mafia,"1,187,125,946",,
I Knew You Were Trouble.,Taylor Swift,"905,119,744",,
We Are Never Ever Getting Back Together,Taylor Swift,"703,445,230",,
Ho Hey,The Lumineers,"1,402,046,025",,
Chasing The Sun,The Wanted,"217,390,563",,
Angels,The xx,"234,629,298",,
Drive By,Train,"801,536,181",,
50 Ways to Say Goodbye,Train,"198,237,834",,
Heart Attack,Trey Songz,"82,910,514",,
Rack City,Tyga,"377,864,601",,
Faded,Tyga,"145,326,097",,
Climax,USHER,"147,958,090",,
Anna Sun,WALK THE MOON,"163,394,046",,
Work Hard, Play Hard,Wiz Khalifa,"191,974,964",
We Own It (Fast & Furious),2 Chainz,"504,393,258",,
F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar),A$AP Rocky,"854,340,701",
