title,artist,streams
STARSTRUKK (feat. Katy Perry),3OH!3,"160,363,103"
My First Kiss (feat. Ke$ha),3OH!3,"126,408,708"
I Need A Dollar,Aloe Blacc,"282,228,422"
Airplanes (feat. Hayley Williams of Paramore),B.o.B,"843,380,081"
Nothin' on You (feat. Bruno Mars),B.o.B,"684,014,150"
Magic (feat. Rivers Cuomo),B.o.B,"203,994,141"
The Time (Dirty Bit),Black Eyed Peas,"315,460,511"
Imma Be,Black Eyed Peas,"240,847,546"
Talking to the Moon,Bruno Mars,"1,544,594,833"
Just the Way You Are,Bruno Mars,"2,403,311,354"
Teach Me How to Dougie,Cali Swag District,"195,061,529"
Forget You,CeeLo Green,"203,769,264"
Deuces (feat. Tyga & Kevin McCall),Chris Brown,"241,072,712"
Memories (feat. Kid Cudi),David Guetta,"1,036,166,575"
Gettin' Over You (feat. Fergie & LMFAO),David Guetta,"208,275,312"
"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",DJ Khaled,"372,652,619"
Over,Drake,"275,738,442"
Find Your Love,Drake,"190,937,669"
Stereo Love - Radio Edit,Edward Maya,"418,158,115"
Pack Up,Eliza Doolittle,"71,732,126"
Starry Eyed,Ellie Goulding,"86,773,307"
Love The Way You Lie,Eminem,"1,700,616,707"
Not Afraid,Eminem,"1,091,945,055"
I Like It,Enrique Iglesias,"269,905,390"
Kickstarts,Example,"109,680,618"
Like A G6,Far East Movement,"752,323,517"
Club Can't Handle Me (feat. David Guetta),Flo Rida,"631,641,237"
Hot - Malibu Breeze Radio Edit,Inna,"140,536,113"
Replay,Iyaz,"1,056,376,741"
Whatcha Say,Jason Derulo,"696,637,062"
Ridin' Solo,Jason Derulo,"376,344,301"
In My Head,Jason Derulo,"399,029,312"
Down,Jay Sean,"781,092,779"
Do You Remember,Jay Sean,"228,283,634"
Young Forever,JAY-Z,"150,081,824"
Heartbreak Warfare,John Mayer,"170,251,124"
Half of My Heart,John Mayer,"161,996,341"
Baby,Justin Bieber,"1,085,705,161"
California Gurls,Katy Perry,"940,751,682"
Teenage Dream,Katy Perry,"874,146,419"
Commander,Kelly Rowland,"90,816,374"
TiK ToK,Kesha,"1,371,295,077"
Your Love Is My Drug,Kesha,"267,779,169"
Take It Off,Kesha,"218,030,775"
Blah Blah Blah (feat. 3OH!3),Kesha,"125,440,750"
Wavin' Flag - Coca-Cola® Celebration Mix,K'NAAN,"228,966,838"
Live Like We're Dying,Kris Allen,"31,097,512"
Bad Romance,Lady Gaga,"1,370,788,882"
Telephone,Lady Gaga,"788,263,839"
Alejandro,Lady Gaga,"521,150,114"
Right Above It,Lil Wayne,"308,562,220"
My Chick Bad,Ludacris,"184,833,419"
How Low,Ludacris,"113,797,843"
Misery,Maroon 5,"351,177,319"
When We Collide,Matt Cardle,"12,895,769"
Cooler Than Me - Single Mix,Mike Posner,"718,119,273"
Can't Be Tamed,Miley Cyrus,"131,165,402"
Animal,Neon Trees,"402,118,220"
Fireflies,Owl City,"961,281,320"
She Said,Plan B,"102,765,398"
Only Girl (In The World),Rihanna,"1,258,884,848"
Rude Boy,Rihanna,"661,863,085"
What's My Name?,Rihanna,"580,423,744"
Man Down,Rihanna,"392,012,171"
Hard,Rihanna,"56,704,019"
Dancing On My Own - Radio Edit,Robyn,"357,495,515"
King of Anything,Sara Bareilles,"97,823,314"
This Ain't a Love Song,Scouting For Girls,"67,853,522"
Eenie Meenie,Sean Kingston,"708,096,817"
Riverside,Sidney Samson,"13,908,848"
Alors on danse - Radio Edit,Stromae,"740,554,226"
Stuck Like Glue,Sugarland,"125,629,481"
One - Radio Edit,Swedish House Mafia,"288,227,470"
Miami 2 Ibiza - Swedish House Mafia vs. Tinie Tempah,Swedish House Mafia,"159,432,797"
Dynamite,Taio Cruz,"1,163,056,395"
Break Your Heart,Taio Cruz,"619,151,478"
The Flood,Take That,"66,973,497"
Back To December,Taylor Swift,"415,407,050"
Mine,Taylor Swift,"231,128,702"
Today Was A Fairytale,Taylor Swift,"32,490,096"
If I Die Young,The Band Perry,"356,074,008"
For the First Time,The Script,"334,684,468"
All Time Low,The Wanted,"33,041,908"
Seek Bromance (Avicii Vocal Edit),Tim Berg,"204,727,636"
Carry Out (Featuring Justin Timberlake),Timbaland,"184,812,564"
If We Ever Meet Again (Featuring Katy Perry),Timbaland,"200,650,802"
Pass Out,Tinie Tempah,"162,201,822"
Written in the Stars (feat. Eric Turner),Tinie Tempah,"96,208,349"
"Hey, Soul Sister",Train,"1,699,643,152"
Billionaire (feat. Bruno Mars),Travie McCoy,"740,935,172"
Bottoms Up (feat. Nicki Minaj),Trey Songz,"335,869,260"
Say Aah (feat. Fabolous),Trey Songz,"146,236,510"
What You Know,Two Door Cinema Club,"910,364,592"
DJ Got Us Fallin' In Love (feat. Pitbull),USHER,"976,476,255"
OMG (feat. will.i.am),USHER,"368,782,759"
Hey Daddy (Daddy's Home),USHER,"285,641,365"
No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,"715,558,832"
We No Speak Americano (Edit),Yolanda Be Cool,"158,225,136"
BedRock,Young Money,"368,521,660"
Rolling in the Deep,Adele,"1,981,838,182"
Set Fire to the Rain,Adele,"1,819,493,514"
Mr. Saxobeat - Radio Edit,Alexandra Stan,"642,966,652"
What the Hell,Avril Lavigne,"430,331,054"
Lighters,Bad Meets Evil,"269,488,030"
Love On Top,Beyoncé,"679,659,501"
Best Thing I Never Had,Beyoncé,"404,298,658"
Skinny Love,Birdy,"862,413,324"
Just Can’t Get Enough,Black Eyed Peas,"609,920,637"
Honey Bee,Blake Shelton,"186,623,695"
Holocene,Bon Iver,"457,468,728"
I Wanna Go,Britney Spears,"181,482,879"
Till the World Ends,Britney Spears,"184,468,703"
Grenade,Bruno Mars,"1,473,863,506"
Marry You,Bruno Mars,"1,135,798,750"
The Lazy Song,Bruno Mars,"1,063,144,065"
Bounce (feat. Kelis) - Radio Edit,Calvin Harris,"153,707,926"
Blind Faith,Chase & Status,"100,185,554"
Champion (feat. Chris Brown),Chip,"28,637,164"
Look At Me Now (feat. Lil' Wayne & Busta Rhymes),Chris Brown,"442,791,129"
Yeah 3x,Chris Brown,"262,566,431"
Beautiful People,Chris Brown,"180,426,283"
jar of hearts,Christina Perri,"564,520,942"
You Make Me Feel... (feat. Sabi),Cobra Starship,"307,386,829"
Paradise,Coldplay,"1,428,570,097"
Every Teardrop Is a Waterfall,Coldplay,"331,050,221"
Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,"657,854,590"
Who's That Chick? (feat. Rihanna),David Guetta,"293,988,677"
